Date,open,high,low,close,volume,change,ma5,ma10,ma20,ma60,ma120,upperband,middleband,lowerband
2019-09-17,47000,47100,46800,46900,7006280,-0.00424628450106157,47010.0,45820.0,44897.5,45296.666666666664,44926.666666666664,47697.406248430474,44897.5,42097.593751569526
2019-09-18,46900,47700,46800,47700,10413027,0.017057569296375252,47170.0,46210.0,45102.5,45330.0,44947.083333333336,48086.70424904195,45102.5,42118.29575095805
2019-09-19,48050,49200,47850,49150,16461413,0.03039832285115307,47600.0,46800.0,45337.5,45390.833333333336,44978.75,48783.63914402771,45337.5,41891.36085597229
2019-09-20,49400,49600,49100,49200,15460210,0.0010172939979653517,48010.0,47310.0,45572.5,45450.833333333336,45015.0,49380.186305356576,45572.5,41764.813694643424
2019-09-23,49250,49300,49000,49300,7568553,0.00203252032520318,48450.0,47670.0,45835.0,45510.833333333336,45053.75,49901.70628396003,45835.0,41768.29371603997
2019-09-24,49050,49650,48850,49500,7871955,0.0040567951318457585,48970.0,47990.0,46112.5,45560.833333333336,45090.833333333336,50379.3343066025,46112.5,41845.6656933975
2019-09-25,49200,49350,48800,48900,9187141,-0.012121212121212088,49210.0,48190.0,46377.5,45592.5,45117.083333333336,50645.57626454823,46377.5,42109.42373545177
2019-09-26,49000,49250,48900,49200,8494756,0.006134969325153339,49220.0,48410.0,46635.0,45635.833333333336,45138.75,50931.63822074887,46635.0,42338.36177925113
2019-09-27,48000,48700,48000,48400,8048041,-0.016260162601625994,49060.0,48535.0,46847.5,45671.666666666664,45150.833333333336,51050.88851404435,46847.5,42644.11148595565
2019-09-30,48050,49250,47900,49050,9497119,0.013429752066115741,49010.0,48730.0,47130.0,45732.5,45169.166666666664,51122.79350830969,47130.0,43137.20649169031
2019-10-01,48900,49100,48650,48850,6206035,-0.004077471967380175,48880.0,48925.0,47372.5,45780.0,45187.5,51159.24992572787,47372.5,43585.75007427213
2019-10-02,48350,48400,47600,47600,8382463,-0.025588536335721557,48620.0,48915.0,47562.5,45812.5,45195.416666666664,50976.13076503596,47562.5,44148.86923496404
2019-10-04,47400,48650,47350,48000,9331695,0.008403361344537785,48380.0,48800.0,47800.0,45872.5,45206.25,50583.163667483466,47800.0,45016.836332516534
2019-10-07,48350,48700,47650,47750,7047273,-0.00520833333333337,48250.0,48655.0,47982.5,45916.666666666664,45218.75,50190.50249094062,47982.5,45774.49750905938
